Experiment,Treatment,Concentration,Sample,Distance,REGR,E1,E2,E3,C1,C2,C3,S
NREXP228,Control,0,4,8.5,0.016556785,-0.122022474,-0.145824644,-0.122022474,-0.139912635,-0.148356693,-0.139912635,-0.148755274
NREXP228,Control,0,4,9,0.016556785,-0.119892784,-0.141237582,-0.119892784,-0.135983745,-0.143511039,-0.135983745,-0.14387106
NREXP228,Control,0,4,9.5,0.016556785,-0.118907528,-0.139112358,-0.118907528,-0.13416578,-0.141266191,-0.13416578,-0.141608684
NREXP228,Control,0,4,10,0.016556785,-0.118568338,-0.138364395,-0.118568338,-0.133535933,-0.14047627,-0.133535933,-0.140813296
NREXP228,Control,0,4,10.5,0.018804116,-0.118763256,-0.138600477,-0.118763256,-0.133806615,-0.140718253,-0.133806615,-0.141057374
NREXP228,Control,0,4,11,0.018804116,-0.118238144,-0.137453772,-0.118238144,-0.132833841,-0.139506933,-0.132833841,-0.139836897
NREXP228,Control,0,4,11.5,0.018804116,-0.116782701,-0.134331022,-0.116782701,-0.130150065,-0.136207378,-0.130150065,-0.136509712
NREXP228,Control,0,4,12,0.018804116,-0.113621658,-0.127658722,-0.113621658,-0.124351846,-0.129157774,-0.124351846,-0.129398226
NREXP228,Control,0,4,12.5,0,-0.106633919,-0.114139014,-0.106633919,-0.11220381,-0.114938191,-0.11220381,-0.115064566
NREXP228,Control,0,4,13,0,-0.10357985,-0.107697509,-0.10357985,-0.106602967,-0.108132361,-0.106602967,-0.108198738
NREXP228,Control,0,4,13.5,0,-0.102392481,-0.105154268,-0.102392481,-0.104413981,-0.105444867,-0.104413981,-0.10548828
NREXP228,Control,0,4,14,0,-0.102429056,-0.10523296,-0.102429056,-0.104481455,-0.105528005,-0.104481455,-0.1055721
NREXP228,Control,0,4,14.5,0,-0.103708473,-0.10797345,-0.103708473,-0.10684015,-0.108423934,-0.10684015,-0.10849277
NREXP228,Control,0,4,15,0,-0.106923078,-0.114751148,-0.106923078,-0.112734826,-0.115584998,-0.112734826,-0.115717078
NREXP228,Control,0,4,15.5,0.020110792,-0.114257139,-0.128910176,-0.114257139,-0.125470105,-0.130475629,-0.125470105,-0.130727215
NREXP228,Control,0,4,16,0.020110792,-0.117340073,-0.135404313,-0.117340073,-0.131121855,-0.137337129,-0.131121855,-0.137649538
NREXP228,Control,0,4,16.5,0.020110792,-0.118288647,-0.137433644,-0.118288647,-0.132870247,-0.139481652,-0.132870247,-0.139812533
NREXP228,Control,0,4,17,0.020110792,-0.117623038,-0.13601424,-0.117623038,-0.131643921,-0.137981411,-0.131643921,-0.138298891
NREXP228,Control,0,4,17.5,0.020110792,-0.11496728,-0.130440811,-0.11496728,-0.126780303,-0.132092486,-0.126780303,-0.13235682
NREXP228,Control,0,4,18,0,-0.108422403,-0.117982279,-0.108422403,-0.115501043,-0.118998204,-0.115501043,-0.11915732
NREXP228,Control,0,4,18.5,0,-0.106762087,-0.114550302,-0.106762087,-0.112473796,-0.115371758,-0.112473796,-0.115496304
NREXP228,Control,0,4,19,0,-0.108602245,-0.118498445,-0.108602245,-0.115866966,-0.119543441,-0.115866966,-0.119702924
NREXP228,Control,0,4,19.5,0,-0.114923156,-0.13181607,-0.114923156,-0.127455053,-0.133614262,-0.127455053,-0.133898149
NREXP228,Control,0,4,20,0.041085766,-0.130057751,-0.161068941,-0.130057751,-0.15375205,-0.164380134,-0.15375205,-0.164910832
NREXP228,Control,0,4,20.5,0.041085766,-0.136981949,-0.17568474,-0.136981949,-0.166453089,-0.179822467,-0.166453089,-0.180488777
NREXP228,Control,0,4,21,0.041085766,-0.140340059,-0.182887265,-0.140340059,-0.17264504,-0.187432948,-0.17264504,-0.188163278
NREXP228,Control,0,4,21.5,0.041085766,-0.141926686,-0.186302654,-0.141926686,-0.175572131,-0.191041164,-0.175572131,-0.191800758
NREXP228,Control,0,4,22,0.041085766,-0.142558541,-0.18766403,-0.142558541,-0.176737881,-0.192479291,-0.176737881,-0.193250354
NREXP228,DES,0.1,1,0,0,-0.251356591,-0.423464042,-0.251356591,-0.378663672,-0.44174447,-0.378663672,-0.44460436
NREXP228,DES,0.1,1,0.5,0.295270194,-0.337783962,-0.585970145,-0.337783962,-0.52648402,-0.612411897,-0.52648402,-0.616605814
NREXP228,DES,0.1,1,1,0.295270194,-0.375863619,-0.667445561,-0.375863619,-0.596675275,-0.698513136,-0.596675275,-0.703450702
NREXP228,DES,0.1,1,1.5,0,-0.386429962,-0.708681248,-0.386429962,-0.626500127,-0.743107856,-0.626500127,-0.748632228
NREXP228,DES,0.1,1,2,0.739874008,-0.573208509,-1.053293641,-0.573208509,-0.94240351,-1.104653296,-0.94240351,-1.112954957
NREXP228,DES,0.1,1,2.5,0.739874008,-0.576790425,-1.060078799,-0.576790425,-0.948752939,-1.111816927,-0.948752939,-1.12019961
NREXP228,DES,0.1,1,3,0.158779541,-0.402710267,-0.731947339,-0.402710267,-0.650515601,-0.767141988,-0.650515601,-0.7728068
NREXP228,DES,0.1,1,3.5,0.158779541,-0.313447813,-0.54424666,-0.313447813,-0.486958438,-0.56882189,-0.486958438,-0.572717587
NREXP228,DES,0.1,1,4,0.114141835,-0.246495986,-0.404707415,-0.246495986,-0.365399463,-0.421531709,-0.365399463,-0.424179044
NREXP228,DES,0.1,1,4.5,0.032495914,-0.191227366,-0.292687973,-0.191227366,-0.266746815,-0.303459937,-0.266746815,-0.305140592
NREXP228,DES,0.1,1,5,0.032495914,-0.167264309,-0.241841083,-0.167264309,-0.222734656,-0.249742843,-0.222734656,-0.25096658
NREXP228,DES,0.1,1,5.5,0,-0.159426979,-0.226818153,-0.159426979,-0.209359609,-0.233984213,-0.209359609,-0.235110083
NREXP228,DES,0.1,1,6,0.116081832,-0.186259935,-0.275402486,-0.186259935,-0.254331234,-0.284919786,-0.254331234,-0.28644445
NREXP228,DES,0.1,1,6.5,0.116081832,-0.19062569,-0.284069874,-0.19062569,-0.262190352,-0.294076325,-0.262190352,-0.29569762
