ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP236.Control.0.1,NREXP236,Control,0,1,Block,-1.088218882,0.1807445756,-0.7040058055,0.1889817764,22,4.31372549,0.4150943396,5.1,0.4169699712
NREXP236.Control.0.1,NREXP236,Control,0,1,Air_1,-1.922158824,0.3192554244,-1.158623013,0.3110182236,0,0,0,5.1,-0.4169699712
NREXP236.Control.0.1,NREXP236,Control,0,1,Air_2,-1.922158824,0.3192554244,-1.158623013,0.3110182236,0,0,0,5.1,-0.4169699712
NREXP236.Control.0.1,NREXP236,Control,0,1,Plate,-1.088218882,0.1807445756,-0.7040058055,0.1889817764,31,6.078431373,0.5849056604,5.1,0.4169699712
NREXP236.Control.0.2,NREXP236,Control,0,2,Block,-0.6796276951,0.1924377895,-0.8418355584,0.1857290667,26,5.2,0.4,5,0.2032910093
NREXP236.Control.0.2,NREXP236,Control,0,2,Air_1,-1.086209714,0.3075622105,-1.424464416,0.3142709333,0,0,0,5,-0.2032910093
NREXP236.Control.0.2,NREXP236,Control,0,2,Air_2,-1.086209714,0.3075622105,-1.424464416,0.3142709333,0,0,0,5,-0.2032910093
NREXP236.Control.0.2,NREXP236,Control,0,2,Plate,-0.6796276951,0.1924377895,-0.8418355584,0.1857290667,39,7.8,0.6,5,0.2032910093
NREXP236.Control.0.3,NREXP236,Control,0,3,Block,-0.6937081567,0.1908505534,-0.6937081567,0.1908505534,28,5.384615385,0.4912280702,5.2,0.2149978236
NREXP236.Control.0.3,NREXP236,Control,0,3,Air_1,-1.123703804,0.3091494466,-1.123703804,0.3091494466,0,0,0,5.2,-0.2149978236
NREXP236.Control.0.3,NREXP236,Control,0,3,Air_2,-1.123703804,0.3091494466,-1.123703804,0.3091494466,0,0,0,5.2,-0.2149978236
NREXP236.Control.0.3,NREXP236,Control,0,3,Plate,-0.6937081567,0.1908505534,-0.6937081567,0.1908505534,29,5.576923077,0.5087719298,5.2,0.2149978236
NREXP236.Control.0.4,NREXP236,Control,0,4,Block,-0.5340292991,0.200055854,-0.8438322024,0.1794627607,37,6.851851852,0.5,5.4,0.1333209537
NREXP236.Control.0.4,NREXP236,Control,0,4,Air_1,-0.8006712065,0.299944146,-1.507163066,0.3205372393,0,0,0,5.4,-0.1333209537
NREXP236.Control.0.4,NREXP236,Control,0,4,Air_2,-0.8006712065,0.299944146,-1.507163066,0.3205372393,0,0,0,5.4,-0.1333209537
NREXP236.Control.0.4,NREXP236,Control,0,4,Plate,-0.5340292991,0.200055854,-0.8438322024,0.1794627607,37,6.851851852,0.5,5.4,0.1333209537
NREXP236.Mannitol.160.1,NREXP236,Mannitol,160,1,Block,-1.963050027,0.2480594929,-1.673617562,0.2733446643,15,3.06122449,0.2830188679,4.9,0.0153564476
NREXP236.Mannitol.160.1,NREXP236,Mannitol,160,1,Air_1,-2.36026766,0.2982536312,-1.754255808,0.2865149576,0,0,0,4.9,-0.3818611853
NREXP236.Mannitol.160.1,NREXP236,Mannitol,160,1,Air_2,-2.36026766,0.2982536312,-1.754255808,0.2865149576,0,0,0,4.9,-0.3818611853
NREXP236.Mannitol.160.1,NREXP236,Mannitol,160,1,Plate,-1.230040551,0.1554332448,-0.9406080869,0.1536254205,38,7.755102041,0.7169811321,4.9,0.7483659229
NREXP236.Mannitol.160.2,NREXP236,Mannitol,160,2,Block,-1.644688624,0.2766203085,-1.942206332,0.3045621077,2,0.4166666667,0.0444444444,4.8,-0.1582751417
NREXP236.Mannitol.160.2,NREXP236,Mannitol,160,2,Air_1,-1.694643078,0.2850221521,-1.73498926,0.2720678937,0,0,0,4.8,-0.208229596
NREXP236.Mannitol.160.2,NREXP236,Mannitol,160,2,Air_2,-1.694643078,0.2850221521,-1.73498926,0.2720678937,0,0,0,4.8,-0.208229596
NREXP236.Mannitol.160.2,NREXP236,Mannitol,160,2,Plate,-0.9116791486,0.1533353874,-0.9648603651,0.151302105,43,8.958333333,0.9555555556,4.8,0.5747343337
NREXP236.Mannitol.160.3,NREXP236,Mannitol,160,3,Block,-1.721797158,0.2691414061,-1.900694789,0.2536945089,4,0.8163265306,0.0975609756,4.9,-0.122454657
NREXP236.Mannitol.160.3,NREXP236,Mannitol,160,3,Air_1,-1.843392582,0.2881485017,-2.211840552,0.2952245706,0,0,0,4.9,-0.2440500807
NREXP236.Mannitol.160.3,NREXP236,Mannitol,160,3,Air_2,-1.843392582,0.2881485017,-2.211840552,0.2952245706,0,0,0,4.9,-0.2440500807
NREXP236.Mannitol.160.3,NREXP236,Mannitol,160,3,Plate,-0.9887876829,0.1545615905,-1.167685313,0.15585635,37,7.551020408,0.9024390244,4.9,0.6105548183
NREXP236.Mannitol.160.4,NREXP236,Mannitol,160,4,Block,-1.754255491,0.2643234052,-1.759777122,0.2220641589,3,0.6,0.09375,5,-0.0950612461
NREXP236.Mannitol.160.4,NREXP236,Mannitol,160,4,Air_1,-1.930637737,0.2908998965,-2.446876231,0.3087683692,0,0,0,5,-0.2714434916
NREXP236.Mannitol.160.4,NREXP236,Mannitol,160,4,Air_2,-1.930637737,0.2908998965,-2.446876231,0.3087683692,0,0,0,5,-0.2714434916
NREXP236.Mannitol.160.4,NREXP236,Mannitol,160,4,Plate,-1.021246016,0.1538768018,-1.271104139,0.1603991028,29,5.8,0.90625,5,0.6379482292
NREXP236.Mannitol.240.1,NREXP236,Mannitol,240,1,Block,-2.036004144,0.3092798906,-2.036004144,0.3092798906,0,0,0,4.5,-0.390242323
NREXP236.Mannitol.240.1,NREXP236,Mannitol,240,1,Air_1,-1.805276605,0.2742311465,-1.805276605,0.2742311465,0,0,0,4.5,-0.1595147835
NREXP236.Mannitol.240.1,NREXP236,Mannitol,240,1,Air_2,-1.805276605,0.2742311465,-1.805276605,0.2742311465,0,0,0,4.5,-0.1595147835
NREXP236.Mannitol.240.1,NREXP236,Mannitol,240,1,Plate,-0.9364899313,0.1422578163,-0.9364899313,0.1422578163,16,3.555555556,1,4.5,0.70927189
NREXP236.Mannitol.240.2,NREXP236,Mannitol,240,2,Block,-2.046118443,0.3074320412,-1.980391092,0.2431683665,4,0.8888888889,0.0952380952,4.5,-0.3822397896
NREXP236.Mannitol.240.2,NREXP236,Mannitol,240,2,Air_1,-1.83139597,0.2751697016,-2.458171045,0.3018340367,0,0,0,4.5,-0.1675173169
NREXP236.Mannitol.240.2,NREXP236,Mannitol,240,2,Air_2,-1.83139597,0.2751697016,-2.458171045,0.3018340367,0,0,0,4.5,-0.1675173169
NREXP236.Mannitol.240.2,NREXP236,Mannitol,240,2,Plate,-0.9466042295,0.1422285555,-1.247381616,0.1531635601,38,8.444444444,0.9047619048,4.5,0.7172744234
NREXP236.Mannitol.240.3,NREXP236,Mannitol,240,3,Block,-1.911448342,0.3304396705,-1.911448342,0.3304396705,0,0,0,4.9,-0.4653081591
NREXP236.Mannitol.240.3,NREXP236,Mannitol,240,3,Air_1,-1.53058913,0.2645990251,-1.53058913,0.2645990251,0,0,0,4.9,-0.0844489474
NREXP236.Mannitol.240.3,NREXP236,Mannitol,240,3,Air_2,-1.53058913,0.2645990251,-1.53058913,0.2645990251,0,0,0,4.9,-0.0844489474
NREXP236.Mannitol.240.3,NREXP236,Mannitol,240,3,Plate,-0.8119341286,0.1403622793,-0.8119341286,0.1403622793,38,7.755102041,1,4.9,0.6342060539
